dec,hex,name
585,0249H,Speed loop integral time constant (lower)
586,024AH,Speed filter (upper)
587,024BH,Speed filter (lower)
588,024CH,Moving average time (upper)
589,024DH,Moving average time (lower)
640,0280H,Common acceleration (upper)
641,0281H,Common acceleration (lower)
642,0282H,Common deceleration (upper)
643,0283H,Common deceleration (lower)
644,0284H,Starting speed (upper)
645,0285H,Starting speed (lower)
646,0286H,JOG operating speed (upper)
647,0287H,JOG operating speed (lower)
648,0288H,Acceleration/deceleration rate of JOG (upper)
649,0289H,Acceleration/deceleration rate of JOG (lower)
650,028AH,JOG starting speed (upper)
651,028BH,JOG starting speed (lower)
652,028CH,Acceleration/deceleration type (upper)
653,028DH,Acceleration/deceleration type (lower)
654,028EH,Acceleration/deceleration unit (upper)
655,028FH,Acceleration/deceleration unit (lower)
704,02C0H,Home-seeking mode (upper)
705,02C1H,Home-seeking mode (lower)
706,02C2H,Operating speed of home- seeking (upper)
707,02C3H,Operating speed of home- seeking (lower)
708,02C4H,Acceleration/deceleration of home-seeking (upper)
709,02C5H,Acceleration/deceleration of home-seeking (lower)
710,02C6H,Starting speed of home-seeking (upper)
711,02C7H,Starting speed of home-seeking (lower)
712,02C8H,Position offset of home-seeking (upper)
713,02C9H,Position offset of home-seeking (lower)
714,02CAH,Starting direction of home- seeking (upper)
715,02CBH,Starting direction of home- seeking (lower)
716,02CCH,SLIT detection with home- seeking (upper)
717,02CDH,SLIT detection with home- seeking (lower)
718,02CEH,TIM signal detection with home- seeking (upper)
719,02CFH,TIM signal detection with home- seeking (lower)
720,02D0H,Operating current of home- seeking with push-motion (upper)
721,02D1H,Operating current of home- seeking with push-motion (lower)
768,0300H,Overload alarm (upper)
769,0301H,Overload alarm (lower)
770,0302H,Excessive position deviation alarm at current ON (upper)
771,0303H,Excessive position deviation alarm at current ON (lower)
776,0308H,Return-to-home incomplete alarm (upper)
777,0309H,Return-to-home incomplete alarm (lower)
832,0340H,Overheat warning (upper)
833,0341H,Overheat warning (lower)
834,0342H,Overload warning (upper)
835,0343H,Overload warning (lower)
836,0344H,Overspeed warning (upper)
837,0345H,Overspeed warning (lower)
838,0346H,Overvoltage warning (upper)
839,0347H,Overvoltage warning (lower)
840,0348H,Undervoltage warning (upper)
841,0349H,Undervoltage warning (lower)
842,034AH,Excessive position deviation warning at current ON (upper)
843,034BH,Excessive position deviation warning at current ON (lower)
896,0380H,Electronic gear A (upper)
897,0381H,Electronic gear A (lower)
898,0382H,Electronic gear B (upper)
899,0383H,Electronic gear B (lower)
900,0384H,Motor rotation direction (upper)
901,0385H,Motor rotation direction (lower)
902,0386H,Software overtravel (upper)
903,0387H,Software overtravel (lower)
904,0388H,Positive software limit (upper)
905,0389H,Positive software limit (lower)
906,038AH,Negative software limit (upper)
907,038BH,Negative software limit (lower)
908,038CH,Preset position (upper)
909,038DH,Preset position (lower)
910,038EH,Wrap setting (upper)
911,038FH,Wrap setting (lower)
912,0390H,Wrap setting range (upper)
913,0391H,Wrap setting range (lower)
960,03C0H,Data setter speed display (upper)
961,03C1H,Data setter speed display (lower)
962,03C2H,Data setter edit (upper)
963,03C3H,Data setter edit (lower)
4096,1000H,MS0 operation No. selection (upper)
4097,1001H,MS0 operation No. selection (lower)
4098,1002H,MS1 operation No. selection (upper)
4099,1003H,MS1 operation No. selection (lower)
4100,1004H,MS2 operation No. selection (upper)
4101,1005H,MS2 operation No. selection (lower)
4102,1006H,MS3 operation No. selection (upper)
4103,1007H,MS3 operation No. selection (lower)
4104,1008H,MS4 operation No. selection (upper)
4105,1009H,MS4 operation No. selection (lower)
4106,100AH,MS5 operation No. selection (upper)
4107,100BH,MS5 operation No. selection (lower)
4108,100CH,HOME-P output function selection (upper)
4109,100DH,HOME-P output function selection (lower)
4128,1020H,Filter selection (upper)
4129,1021H,Filter selection (lower)
4130,1022H,Speed difference gain 1 (upper)
4131,1023H,Speed difference gain 1 (lower)
4132,1024H,Speed difference gain 2 (upper)
4133,1025H,Speed difference gain 2 (lower)
4134,1026H,Control mode (upper)
4135,1027H,Control mode (lower)
4136,1028H,Smooth drive (upper)
4137,1029H,Smooth drive (lower)
4160,1040H,Automatic return operation (upper)
4161,1041H,Automatic return operation (lower)
4162,1042H,Operation speed of automatic return (upper)
4163,1043H,Operation speed of automatic return (lower)
4164,1044H,Acceleration (deceleration) of automatic return (upper)
4165,1045H,Acceleration (deceleration) of automatic return (lower)
4166,1046H,Starting speed of automatic return (upper)
4167,1047H,Starting speed of automatic return (lower)
4168,1048H,JOG travel amount (upper)
4169,1049H,JOG travel amount (lower)
4224,1080H,Excessive position deviation alarm at current OFF (upper)
4225,1081H,Excessive position deviation alarm at current OFF (lower)
4352,1100H,IN0 input function selection (upper)
4353,1101H,IN0 input function selection (lower)
4354,1102H,IN1 input function selection (upper)
4355,1103H,IN1 input function selection (lower)
4356,1104H,IN2 input function selection (upper)
4357,1105H,IN2 input function selection (lower)
4358,1106H,IN3 input function selection (upper)
4359,1107H,IN3 input function selection (lower)
4360,1108H,IN4 input function selection (upper)
4361,1109H,IN4 input function selection (lower)
4362,110AH,IN5 input function selection (upper)
4363,110BH,IN5 input function selection (lower)
4364,110CH,IN6 input function selection (upper)
4365,110DH,IN6 input function selection (lower)
4366,110EH,IN7 input function selection (upper)
4367,110FH,IN7 input function selection (lower)
4384,1120H,IN0 input logic level setting (upper)
4385,1121H,IN0 input logic level setting (lower)
4386,1122H,IN1 input logic level setting (upper)
4387,1123H,IN1 input logic level setting (lower)
4388,1124H,IN2 input logic level setting (upper)
4389,1125H,IN2 input logic level setting (lower)
4390,1126H,IN3 input logic level setting (upper)
4391,1127H,IN3 input logic level setting (lower)
4392,1128H,IN4 input logic level setting (upper)
4393,1129H,IN4 input logic level setting (lower)
4394,112AH,IN5 input logic level setting (upper)
4395,112BH,IN5 input logic level setting (lower)
4396,112CH,IN6 input logic level setting (upper)
4397,112DH,IN6 input logic level setting (lower)
4398,112EH,IN7 input logic level setting (upper)
4399,112FH,IN7 input logic level setting (lower)
4416,1140H,OUT0 output function selection (upper)
4417,1141H,OUT0 output function selection (lower)
4418,1142H,OUT1 output function selection (upper)
4419,1143H,OUT1 output function selection (lower)
4420,1144H,OUT2 output function selection (upper)
4421,1145H,OUT2 output function selection (lower)
4422,1146H,OUT3 output function selection (upper)
4423,1147H,OUT3 output function selection (lower)
4424,1148H,OUT4 output function selection (upper)
4425,1149H,OUT4 output function selection (lower)
4426,114AH,OUT5 output function selection (upper)
4427,114BH,OUT5 output function selection (lower)
4448,1160H,NET-IN0 input function selection (upper)
4449,1161H,NET-IN0 input function selection (lower)
4450,1162H,NET-IN1 input function selection (upper)
4451,1163H,NET-IN1 input function selection (lower)
4452,1164H,NET-IN2 input function selection (upper)
4453,1165H,NET-IN2 input function selection (lower)
4454,1166H,NET-IN3 input function selection (upper)
4455,1167H,NET-IN3 input function selection (lower)
4456,1168H,NET-IN4 input function selection (upper)
4457,1169H,NET-IN4 input function selection (lower)
4458,116AH,NET-IN5 input function selection (upper)
4459,116BH,NET-IN5 input function selection (lower)
4460,116CH,NET-IN6 input function selection (upper)
4461,116DH,NET-IN6 input function selection (lower)
4462,116EH,NET-IN7 input function selection (upper)
4463,116FH,NET-IN7 input function selection (lower)
4464,1170H,NET-IN8 input function selection (upper)
4465,1171H,NET-IN8 input function selection (lower)
4466,1172H,NET-IN9 input function selection (upper)
4467,1173H,NET-IN9 input function selection (lower)
4468,1174H,NET-IN10 input function selection (upper)
4469,1175H,NET-IN10 input function selection (lower)
4470,1176H,NET-IN11 input function selection (upper)
4471,1177H,NET-IN11 input function selection (lower)
4472,1178H,NET-IN12 input function selection (upper)
4473,1179H,NET-IN12 input function selection (lower)
4474,117AH,NET-IN13 input function selection (upper)
4475,117BH,NET-IN13 input function selection (lower)
4476,117CH,NET-IN14 input function selection (upper)
4477,117DH,NET-IN14 input function selection (lower)
4478,117EH,NET-IN15 input function selection (upper)
4479,117FH,NET-IN15 input function selection (lower)
4480,1180H,NET-OUT0 output function selection (upper)
4481,1181H,NET-OUT0 output function selection (lower)
4482,1182H,NET-OUT1 output function selection (upper)
4483,1183H,NET-OUT1 output function selection (lower)
4484,1184H,NET-OUT2 output function selection (upper)
4485,1185H,NET-OUT2 output function selection (lower)
4486,1186H,NET-OUT3 output function selection (upper)
4487,1187H,NET-OUT3 output function selection (lower)
4488,1188H,NET-OUT4 output function selection (upper)
4489,1189H,NET-OUT4 output function selection (lower)
4490,118AH,NET-OUT5 output function selection (upper)
4491,118BH,NET-OUT5 output function selection (lower)
4492,118CH,NET-OUT6 output function selection (upper)
4493,118DH,NET-OUT6 output function selection (lower)
4494,118EH,NET-OUT7 output function selection (upper)
4495,118FH,NET-OUT7 output function selection (lower)
4496,1190H,NET-OUT8 output function selection (upper)
4497,1191H,NET-OUT8 output function selection (lower)
4498,1192H,NET-OUT9 output function selection (upper)
4499,1193H,NET-OUT9 output function selection (lower)
4500,1194H,NET-OUT10 output function selection (upper)
4501,1195H,NET-OUT10 output function selection (lower)
4502,1196H,NET-OUT11 output function selection (upper)
4503,1197H,NET-OUT11 output function selection (lower)
4504,1198H,NET-OUT12 output function selection (upper)
4505,1199H,NET-OUT12 output function selection (lower)
4506,119AH,NET-OUT13 output function selection (upper)
4507,119BH,NET-OUT13 output function selection (lower)
4508,119CH,NET-OUT14 output function selection (upper)
4509,119DH,NET-OUT14 output function selection (lower)
4510,119EH,NET-OUT15 output function selection (upper)
4511,119FH,NET-OUT15 output function selection (lower)
4608,1200H,Communication timeout (upper)
4609,1201H,Communication timeout (lower)
4610,1202H,Communication error alarm (upper)
4611,1203H,Communication error alarm (lower)
